name,department,gender,years_of_experience,position,num_publications,num_citations,salary
June Millick,Architecture and Urban Planning,female,21,Full Professor,70,10290,205504
Arturo Levy,Architecture and Urban Planning,male,49,Full Professor,88,2640,138340
Michael Kessler,Architecture and Urban Planning,male,11,Associate Professor,50,600,79884
Isaac Carter,Architecture and Urban Planning,male,31,Full Professor,77,693,99784
Donnie Fain,Architecture and Urban Planning,male,4,Assistant Professor,39,15171,223729
Emmett Delarosa,Architecture and Urban Planning,male,20,Full Professor,86,15910,244798
Brent Sanders,Architecture and Urban Planning,male,10,Associate Professor,51,714,88890
Wm Ensign,Architecture and Urban Planning,male,13,Associate Professor,46,2714,103437
Tracy Evans,Architecture and Urban Planning,male,2,Assistant Professor,26,1118,100690
Charles Collins,Architecture and Urban Planning,male,17,Full Professor,92,29716,300000
Eugene Ross,Architecture and Urban Planning,male,1,Assistant Professor,14,1064,84035
Barry Henson,Architecture and Urban Planning,male,63,Full Professor,75,24225,300000
Milton Marquez,Architecture and Urban Planning,male,1,Assistant Professor,24,4968,130713
Michael Morris,Architecture and Urban Planning,male,26,Full Professor,80,640,98616
Michael Scott,Architecture and Urban Planning,male,33,Full Professor,86,1462,117111
Leonard Shrum,Architecture and Urban Planning,male,1,Assistant Professor,17,1207,86292
Willie Turner,Architecture and Urban Planning,male,23,Full Professor,92,1104,106240
Maurice Hale,Architecture and Urban Planning,male,1,Assistant Professor,34,9928,174033
Marion Andres,Architecture and Urban Planning,male,0,Assistant Professor,34,1938,90696
Joseph Dobratz,Architecture and Urban Planning,male,16,Associate Professor,47,1410,109414
Manuel Lane,Architecture and Urban Planning,male,9,Associate Professor,68,340,78845
Kurt Jacquez,Architecture and Urban Planning,male,3,Assistant Professor,26,3406,106183
George Greener,Architecture and Urban Planning,male,3,Assistant Professor,18,216,78438
George Cefalu,Architecture and Urban Planning,male,3,Assistant Professor,16,112,85873
Karen Withers,Law,female,5,Assistant Professor,30,3450,140621
Karen Costello,Law,female,3,Assistant Professor,28,3808,155550
Velma Clark,Law,female,38,Full Professor,71,10579,249810
Alexis Salas,Law,female,15,Full Professor,87,33843,300000
Helen Diaz,Law,female,1,Assistant Professor,17,884,108572
Jane Jessup,Law,female,31,Full Professor,89,6319,196923
Jennifer Mcdevitt,Law,female,2,Assistant Professor,29,1160,116101
Eloisa Trujillo,Law,female,19,Full Professor,93,6882,194034
Teresa Sedlock,Law,female,6,Assistant Professor,39,6435,167494
Cheryl Herron,Law,female,33,Full Professor,99,7821,210973
Margaret Grant,Law,female,3,Assistant Professor,21,1323,116589
Sara Byrn,Law,female,45,Full Professor,71,781,161761
Micheline Henry,Law,female,9,Associate Professor,52,6292,175086
Elizabeth Kissane,Law,female,9,Associate Professor,48,864,121559
Mary Alvarez,Law,female,2,Assistant Professor,17,5134,145163
Rosa Chatman,Law,female,36,Full Professor,83,11039,253218
Danielle Tarin,Law,female,0,Assistant Professor,24,3144,127309
Gwendolyn Beasley,Law,female,17,Associate Professor,48,6768,183725
Bethany Davis,Law,female,16,Full Professor,70,560,122977
Harley Schmidt,Law,male,22,Full Professor,74,5402,161699
Frederick Keeth,Law,male,6,Assistant Professor,38,3914,133609
Larry Oliver,Law,male,15,Associate Professor,67,4623,151123
Michael Rodriguez,Law,male,13,Associate Professor,43,12126,231318
Herbert Perreira,Law,male,1,Assistant Professor,39,2769,120458
Jimmie Price,Law,male,4,Assistant Professor,13,572,107281
David Singleton,Law,male,1,Assistant Professor,23,1702,108954
Allen Privette,Law,male,39,Full Professor,88,1320,142610
Henry Caulder,Law,male,48,Full Professor,86,5246,202902
Joe Wilford,Law,male,15,Associate Professor,43,1677,123535
Nicolas Jenkins,Law,male,13,Associate Professor,40,1520,118036
Charles Green,Law,male,12,Associate Professor,44,5852,160621
Robert Hadiaris,Law,male,44,Full Professor,78,10218,230697
Gary Defreitas,Law,male,3,Assistant Professor,29,493,115067
Ivory Robertson,Law,male,11,Associate Professor,60,3660,140082
Robert Crespin,Law,male,2,Assistant Professor,23,3427,138863
Walter Vix,Law,male,9,Associate Professor,58,8062,187349
Jon Miller,Law,male,5,Assistant Professor,16,2048,113487
Gary Adam,Law,male,48,Full Professor,72,14904,289880
John Johnson,Law,male,25,Full Professor,82,26486,300000
Tory Nunez,Law,male,18,Full Professor,93,21948,300000
Mary Smith,Engineering,female,12,Associate Professor,56,13216,244742
Odessa Burke,Engineering,female,14,Associate Professor,65,5135,173633
Mildred Moore,Engineering,female,5,Assistant Professor,20,640,102009
Willie Collins,Engineering,female,3,Assistant Professor,22,330,96644
Barbara Dickson,Engineering,female,12,Associate Professor,52,884,114981
Angela Guevara,Engineering,female,51,Full Professor,95,12350,277498
Sherri Kilroy,Engineering,female,17,Associate Professor,67,1474,126383
Cathryn Elder,Engineering,female,21,Full Professor,91,1274,129270
Tara Ferguson,Engineering,female,30,Full Professor,85,11815,246383
Olivia Gonzalez,Engineering,female,15,Full Professor,94,26508,300000
Mary Harrison,Engineering,female,47,Full Professor,90,11790,262422
Mary Shaffer,Engineering,female,14,Associate Professor,59,1829,125149
Vicki Plummer,Engineering,female,5,Assistant Professor,25,725,103907
Melisa Williams,Engineering,female,21,Full Professor,94,2068,135441
Blanche Levinson,Engineering,female,4,Assistant Professor,26,1664,120288
Elizabeth Randell,Engineering,female,2,Assistant Professor,25,275,107148
Debora Carnell,Engineering,female,5,Assistant Professor,31,434,96445
Erica Boettcher,Engineering,female,0,Assistant Professor,13,819,96291
Sara Jernejcic,Engineering,female,0,Assistant Professor,38,532,107996
Jane Cowan,Engineering,female,4,Assistant Professor,35,7245,172265
Mary Wright,Engineering,female,34,Full Professor,76,836,143108
Julie Williams,Engineering,female,18,Full Professor,75,10200,212510
Ethel Quan,Engineering,female,2,Assistant Professor,26,1664,108384
Esther Gregory,Engineering,female,20,Full Professor,70,4760,163239
Donna Price,Engineering,female,29,Full Professor,97,3686,168867
Louise Stone,Engineering,female,3,Assistant Professor,10,190,107624
Dawn Thon,Engineering,female,0,Assistant Professor,21,903,104676
Susie Johnson,Engineering,female,2,Assistant Professor,28,6608,155973
Deborah Domingo,Engineering,female,33,Full Professor,82,2542,154057
Carmen Hopkins,Engineering,female,15,Associate Professor,51,4947,160284
Patricia Armstrong,Engineering,female,7,Associate Professor,55,4015,148698
Carol Leach,Engineering,female,54,Full Professor,74,3256,182767
Robin Duque,Engineering,female,11,Associate Professor,60,1860,129345
Betty Brandes,Engineering,female,36,Full Professor,76,760,139681
Elizabeth Montgomery,Engineering,female,23,Full Professor,99,12870,250714
Cathy Taylor,Engineering,female,14,Associate Professor,57,30780,300000
Esther Dunkan,Engineering,female,13,Associate Professor,52,7332,188606
Adele Haskins,Engineering,female,16,Associate Professor,52,3276,146600
Neva Drish,Engineering,female,60,Full Professor,79,18644,300000
Eileen Bailey,Engineering,female,28,Full Professor,82,11398,239923
Sara Ellis,Engineering,female,60,Full Professor,92,1472,174671
Grace Campbell,Engineering,female,6,Assistant Professor,25,5175,153273
June Hess,Engineering,female,20,Full Professor,91,6461,182340
Sarah Tienda,Engineering,female,20,Full Professor,84,27132,300000
Mildred Welsh,Engineering,female,35,Full Professor,81,2592,153920
Sarah Gray,Engineering,female,61,Full Professor,88,6688,224327
Josephine Franco,Engineering,female,8,Associate Professor,63,13041,233944
Karen Kasper,Engineering,female,3,Assistant Professor,11,1210,110180
Sara Aline,Engineering,female,5,Assistant Professor,18,1152,108262
Virginia Perritt,Engineering,female,26,Full Professor,83,29299,300000
Johnnie Weitkamp,Engineering,female,5,Assistant Professor,27,729,111700
Audrey Roberge,Engineering,female,16,Associate Professor,68,1224,123959
Mindy White,Engineering,female,9,Associate Professor,68,1088,127030
Bridgett Hutcheson,Engineering,female,30,Full Professor,93,3720,159436
Olivia Meader,Engineering,female,0,Assistant Professor,28,3080,124775
Cathy Meyer,Engineering,female,25,Full Professor,74,15244,282332
Claudia Fieck,Engineering,female,65,Full Professor,70,1050,186055
Agnes Garcia,Engineering,female,1,Assistant Professor,18,2502,116866
Marie Schamber,Engineering,female,51,Full Professor,89,979,159387
Mary Oliver,Engineering,female,62,Full Professor,79,1422,184511
Susan Alcantar,Engineering,female,13,Associate Professor,68,26792,300000
Mary Shanklin,Engineering,female,38,Full Professor,76,2280,155360
Norma Rowell,Engineering,female,0,Assistant Professor,18,324,95357
Tina Hill,Engineering,female,1,Assistant Professor,35,595,101530
Doris Hourigan,Engineering,female,4,Assistant Professor,23,1449,122282
Kelly Townley,Engineering,female,3,Assistant Professor,33,297,93146
Marie Stambaugh,Engineering,female,17,Associate Professor,49,2303,137098
Karen Tarango,Engineering,female,4,Assistant Professor,16,2432,120253
Carol Willis,Engineering,female,25,Full Professor,91,5187,178127
Cindy Moore,Engineering,female,63,Full Professor,76,1064,183117
Diana Myers,Engineering,female,5,Assistant Professor,33,99,96800
Juanita Myers,Engineering,female,11,Associate Professor,60,17940,285981
Anna Anastasiades,Engineering,female,36,Full Professor,91,6916,199462
Mary Arnold,Engineering,female,3,Assistant Professor,34,442,101708
Pamela Lopez,Engineering,female,45,Full Professor,91,5824,212227
Betty Hansen,Engineering,female,15,Associate Professor,44,440,116756
Bonnie Mckenny,Engineering,female,4,Assistant Professor,39,1248,119893
Sofia Roy,Engineering,female,44,Full Professor,72,10008,237505
Rebecca Xu,Engineering,female,9,Associate Professor,46,8556,187253
Tiffany Pugh,Engineering,female,58,Full Professor,89,1424,180388
Karen Hainley,Engineering,female,17,Associate Professor,51,612,116028
Donna Kelly,Engineering,female,0,Assistant Professor,14,1064,98009
Wendy Willis,Engineering,female,0,Assistant Professor,38,532,95538
Kathryn Vesely,Engineering,female,6,Assistant Professor,22,1562,115343
Frances Jones,Engineering,female,47,Full Professor,77,5467,196836
Elizabeth Steffee,Engineering,female,36,Full Professor,74,21830,300000
Stefanie Pina,Engineering,female,3,Assistant Professor,34,646,99384
Joyce Bouchard,Engineering,female,57,Full Professor,79,2528,175540
Effie Smith,Engineering,female,58,Full Professor,89,18423,300000
Claire Henry,Engineering,female,42,Full Professor,99,13761,274508
Ruby Carey,Engineering,female,46,Full Professor,99,4653,185227
Harold Gallagher,Engineering,male,14,Associate Professor,47,705,109607
James Woodward,Engineering,male,55,Full Professor,85,2720,176572
Theodore Jackson,Engineering,male,14,Associate Professor,57,2280,123213
Earl Larson,Engineering,male,48,Full Professor,90,5130,177614
Elvin Sutton,Engineering,male,41,Full Professor,89,801,138450
Michael Hatcher,Engineering,male,10,Associate Professor,42,210,101128
Lee Savage,Engineering,male,60,Full Professor,86,11008,257776
Ronald Hawker,Engineering,male,17,Full Professor,93,12183,223307
Joseph Miller,Engineering,male,4,Assistant Professor,21,840,95852
Nick Werner,Engineering,male,19,Full Professor,88,704,104458
Howard Bennett,Engineering,male,61,Full Professor,94,4606,186427
Edward Montes,Engineering,male,12,Associate Professor,42,504,103775
Andrew Salvemini,Engineering,male,45,Full Professor,81,972,149781
Christopher Quarles,Engineering,male,28,Full Professor,99,1188,120706
Mark Rufenacht,Engineering,male,9,Associate Professor,41,2911,122645
Bill Rhodes,Engineering,male,5,Assistant Professor,39,429,99624
Emery Moya,Engineering,male,6,Assistant Professor,18,2538,144161
Stanley Baillie,Engineering,male,10,Associate Professor,64,13248,247108
Douglas Castillo,Engineering,male,4,Assistant Professor,37,8732,190381
Ahmed Ramsey,Engineering,male,54,Full Professor,81,567,145332
Ervin Swanhart,Engineering,male,16,Associate Professor,53,1007,108949
Jerry Smith,Engineering,male,6,Assistant Professor,28,532,98064
Doug Carraway,Engineering,male,48,Full Professor,80,28240,300000
Gary Morrow,Engineering,male,17,Associate Professor,52,832,111275
James Peterson,Engineering,male,59,Full Professor,90,5760,220028
Jerome Manriquez,Engineering,male,41,Full Professor,93,3627,156226
Felipe White,Engineering,male,53,Full Professor,73,1168,146468
William Correa,Engineering,male,29,Full Professor,76,3344,148218
Ralph Herring,Engineering,male,60,Full Professor,95,4180,190948
Nicholas Christopher,Engineering,male,3,Assistant Professor,34,13396,220190
Dennis Matlock,Engineering,male,1,Assistant Professor,13,416,106004
James Johnson,Engineering,male,24,Full Professor,92,26864,300000
Alonzo Gonzales,Engineering,male,43,Full Professor,71,4047,162652
Raymond Bowen,Engineering,male,1,Assistant Professor,22,2420,110731
Chris Peters,Engineering,male,16,Full Professor,83,4316,141807
Jeff Long,Engineering,male,10,Associate Professor,48,432,116180
Kevin Potts,Engineering,male,4,Assistant Professor,39,858,100198
Brett Jones,Engineering,male,42,Full Professor,85,11135,240980
Kevin Hoffman,Engineering,male,6,Assistant Professor,26,3874,137575
Jamie Mcdonald,Engineering,male,6,Assistant Professor,28,2268,120661
Ronnie Macnaught,Engineering,male,51,Full Professor,72,9576,227960
Warren Cruz,Engineering,male,4,Assistant Professor,15,1110,100879
David Farr,Engineering,male,35,Full Professor,87,1044,129749
Dennis Degiulio,Engineering,male,16,Full Professor,76,11172,218481
Brian Swift,Engineering,male,15,Associate Professor,63,1071,118635
Floyd Pugh,Engineering,male,4,Assistant Professor,28,336,97157
Leland White,Engineering,male,12,Associate Professor,55,1815,124662
Bryant Laswell,Engineering,male,12,Associate Professor,47,2961,126279
Gene Kenworthy,Engineering,male,11,Associate Professor,53,15847,251037
Shaun Cremer,Engineering,male,16,Associate Professor,62,9424,193626
John Johns,Engineering,male,16,Associate Professor,43,10062,198923
William Green,Engineering,male,4,Assistant Professor,23,4255,136126
Christopher Sims,Engineering,male,26,Full Professor,86,20296,300000
Manuel Wilson,Engineering,male,7,Associate Professor,65,4615,134876
Scott Lee,Engineering,male,16,Associate Professor,58,986,123803
Albert Wallace,Engineering,male,11,Associate Professor,64,15104,244854
Sam Turner,Engineering,male,5,Assistant Professor,21,672,99236
Nicholas Riley,Engineering,male,14,Associate Professor,59,8791,189717
Paul Thompson,Engineering,male,7,Associate Professor,42,672,106070
Victor Fernandez,Engineering,male,18,Full Professor,78,546,109944
George Carpino,Engineering,male,34,Full Professor,81,4779,164346
Paul Lovett,Engineering,male,16,Associate Professor,68,1020,126230
Perry Brantley,Engineering,male,55,Full Professor,99,23364,300000
Lee Silverwood,Engineering,male,0,Assistant Professor,31,6386,148461
Franklin Davis,Engineering,male,9,Associate Professor,54,1458,106073
Harold Levey,Engineering,male,10,Associate Professor,46,414,97414
Albert Resendez,Engineering,male,4,Assistant Professor,18,576,94348
William Menzies,Engineering,male,65,Full Professor,95,3610,189466
Darrel Griffin,Engineering,male,33,Full Professor,92,1012,132251
Gregory Fletcher,Engineering,male,5,Assistant Professor,24,3960,148909
David Ramirez,Engineering,male,9,Associate Professor,50,2200,112899
Leonard Cuellar,Engineering,male,3,Assistant Professor,26,4836,145343
Joseph Luis,Engineering,male,12,Associate Professor,49,11564,208268
Rudy Rogers,Engineering,male,5,Assistant Professor,33,4851,148823
Walton Gingerich,Engineering,male,17,Associate Professor,44,1716,123522
Fred Elerson,Engineering,male,16,Associate Professor,42,5502,188407
Robert Arnold,Engineering,male,36,Full Professor,74,8806,215553
Robert Horace,Engineering,male,7,Associate Professor,40,5960,154237
Burton Hyde,Engineering,male,2,Assistant Professor,20,1580,107217
Gary Mccoy,Engineering,male,15,Associate Professor,48,1536,126656
Jordan Gonzalez,Engineering,male,4,Assistant Professor,27,8154,180600
Kenneth Beaudreault,Engineering,male,59,Full Professor,90,31770,300000
Harry Wheeler,Engineering,male,4,Assistant Professor,17,3519,140684
Kenneth Gore,Engineering,male,17,Full Professor,86,6536,162478
Walter Bliss,Engineering,male,38,Full Professor,79,3476,163265
Ronnie Pence,Engineering,male,62,Full Professor,82,820,148664
Russell Creech,Engineering,male,6,Assistant Professor,33,363,100416
Brice Nolte,Engineering,male,48,Full Professor,72,720,151818
Andrew Cunningham,Engineering,male,1,Assistant Professor,24,1128,96207
Henry Razo,Engineering,male,10,Associate Professor,67,2948,122900
Randall Tankersley,Engineering,male,16,Associate Professor,44,308,109713
Jeffrey Melton,Engineering,male,3,Assistant Professor,36,1548,102141
Tyrell Mcguire,Engineering,male,10,Associate Professor,64,13184,229260
Jack Gomez,Engineering,male,5,Assistant Professor,20,760,108216
Andrew Guerrero,Engineering,male,16,Associate Professor,61,12627,234969
Sherman Barritt,Engineering,male,17,Full Professor,87,3480,141096
Michael Chen,Engineering,male,48,Full Professor,91,273,129626
Norman Jordan,Engineering,male,8,Associate Professor,68,12648,227275
Paul Madison,Engineering,male,21,Full Professor,74,26122,300000
Stanley Smith,Engineering,male,10,Associate Professor,68,1156,103122
Jack Clayton,Engineering,male,53,Full Professor,77,10857,242422
Mike Copeland,Engineering,male,1,Assistant Professor,22,286,92700
Michael Barnes,Engineering,male,30,Full Professor,82,10496,218879
Andy Berndt,Engineering,male,5,Assistant Professor,19,5358,142132
Benjamin Steed,Engineering,male,6,Assistant Professor,24,3576,136399
Jesus Jurczyk,Engineering,male,60,Full Professor,76,3040,172426
Brian Innes,Engineering,male,50,Full Professor,79,10270,237181
Juan Peter,Engineering,male,56,Full Professor,97,6111,198181
Desmond Alvarez,Engineering,male,58,Full Professor,96,13536,276605
Roxanne Gentry,Physical Sciences,female,37,Full Professor,91,11830,237086
Kathy Powers,Physical Sciences,female,1,Assistant Professor,36,2196,96141
Trudy Foody,Physical Sciences,female,28,Full Professor,80,1120,122434
Yolanda Ohara,Physical Sciences,female,57,Full Professor,80,8800,218653
Mary Giffin,Physical Sciences,female,17,Associate Professor,60,1800,110126
Krysta Lemons,Physical Sciences,female,2,Assistant Professor,36,324,78390
Jennifer Todd,Physical Sciences,female,12,Associate Professor,54,15228,239886
Loreen Reardon,Physical Sciences,female,4,Assistant Professor,39,2769,112328
Jill Coy,Physical Sciences,female,43,Full Professor,98,3822,162749
Bethany Chisholm,Physical Sciences,female,12,Associate Professor,57,741,108595
Barbara Titcomb,Physical Sciences,female,2,Assistant Professor,27,486,84111
Carolyn Clare,Physical Sciences,female,47,Full Professor,71,497,130615
Melodie Karban,Physical Sciences,female,2,Assistant Professor,17,2176,99684
Meredith Buckhannon,Physical Sciences,female,16,Full Professor,90,35460,300000
Marlene Green,Physical Sciences,female,48,Full Professor,88,20592,300000
Carlene Mabry,Physical Sciences,female,0,Assistant Professor,16,4832,125919
Rebecca Hummel,Physical Sciences,female,8,Associate Professor,41,2911,119566
Madeline Wilson,Physical Sciences,female,27,Full Professor,72,9432,198699
Karen Dickson,Physical Sciences,female,3,Assistant Professor,25,975,84271
Martha Zelaya,Physical Sciences,female,28,Full Professor,92,12788,241577
Regina Kingery,Physical Sciences,female,0,Assistant Professor,20,620,81509
Renee Kirkpatrick,Physical Sciences,female,6,Assistant Professor,30,900,84277
Monica Rader,Physical Sciences,female,1,Assistant Professor,17,527,85980
Bonnie Mckenzie,Physical Sciences,female,8,Associate Professor,57,2508,112289
Estelle Dewoody,Physical Sciences,female,40,Full Professor,79,18644,300000
Shirley Emmick,Physical Sciences,female,36,Full Professor,89,1602,125581
Cheryl Holden,Physical Sciences,female,4,Assistant Professor,20,880,96953
Catrina Winner,Physical Sciences,female,1,Assistant Professor,32,992,96039
Dolores Duran,Physical Sciences,female,30,Full Professor,87,16182,266943
Anita Naumann,Physical Sciences,female,7,Associate Professor,66,21318,300000
Willa Eldridge,Physical Sciences,female,1,Assistant Professor,29,1972,90889
Inez Dover,Physical Sciences,female,0,Assistant Professor,36,2196,94250
Rosetta Bruce,Physical Sciences,female,39,Full Professor,85,25415,300000
Terry Bergeron,Physical Sciences,female,54,Full Professor,74,1406,152538
Lori Merrill,Physical Sciences,female,15,Associate Professor,47,658,101361
Cara Ruthstrom,Physical Sciences,female,11,Associate Professor,42,8652,172345
Rita Keller,Physical Sciences,female,3,Assistant Professor,14,210,81906
Annabel Baker,Physical Sciences,female,32,Full Professor,72,5112,162569
Elizabeth Holguin,Physical Sciences,female,6,Assistant Professor,39,11661,194246
Connie Park,Physical Sciences,female,23,Full Professor,89,5607,157662
Ellen Gibson,Physical Sciences,female,19,Full Professor,85,6715,181616
Sharon Wells,Physical Sciences,female,3,Assistant Professor,30,11700,202184
Martha Adkins,Physical Sciences,female,0,Assistant Professor,19,551,104542
Linda Panella,Physical Sciences,female,12,Associate Professor,44,616,99256
Nidia Timm,Physical Sciences,female,0,Assistant Professor,23,161,70400
Gerda Anderson,Physical Sciences,female,12,Associate Professor,43,731,103117
Dora Craig,Physical Sciences,female,4,Assistant Professor,19,2432,102882
Danielle Elliott,Physical Sciences,female,3,Assistant Professor,37,11581,189022
Annabelle Gardner,Physical Sciences,female,61,Full Professor,95,27740,300000
Jane Kallevig,Physical Sciences,female,24,Full Professor,98,6664,177335
Lena Smith,Physical Sciences,female,16,Full Professor,70,4480,134373
Cori Premo,Physical Sciences,female,40,Full Professor,99,2178,139452
Jamie Smith,Physical Sciences,female,8,Associate Professor,63,3087,124388
Carolyn Cohen,Physical Sciences,female,5,Assistant Professor,39,4992,132894
Claire Young,Physical Sciences,female,5,Assistant Professor,30,4230,125417
Rhonda Weaver,Physical Sciences,female,13,Associate Professor,44,704,97211
Vesta Thompson,Physical Sciences,female,22,Full Professor,90,7290,173634
Mary Pearson,Physical Sciences,female,6,Assistant Professor,39,585,86266
Shannon Miller,Physical Sciences,female,5,Assistant Professor,25,3275,111267
Allison Fredericks,Physical Sciences,female,38,Full Professor,76,11324,232122
Carla Oliphant,Physical Sciences,female,3,Assistant Professor,25,13500,206694
Alberta Butterfield,Physical Sciences,female,38,Full Professor,81,3483,146909
Gladys Rocha,Physical Sciences,female,9,Associate Professor,64,3776,127313
Song Dodge,Physical Sciences,female,3,Assistant Professor,35,665,88017
Judy Janusz,Physical Sciences,female,13,Associate Professor,64,320,102765
Betty Davis,Physical Sciences,female,64,Full Professor,73,3796,185802
Barbara Searby,Physical Sciences,female,59,Full Professor,75,3300,172915
Scarlet Larsen,Physical Sciences,female,0,Assistant Professor,34,1326,92436
Monique Johnson,Physical Sciences,female,5,Assistant Professor,21,6783,152061
Priscilla Savage,Physical Sciences,female,17,Associate Professor,51,714,99042
Kathleen Coulson,Physical Sciences,female,0,Assistant Professor,33,7788,148104
Mildred Hanson,Physical Sciences,female,55,Full Professor,93,11904,247987
Holly Bergren,Physical Sciences,female,46,Full Professor,95,2850,148889
Raisa Alejos,Physical Sciences,female,31,Full Professor,78,2340,149064
Cecelia Lagrone,Physical Sciences,female,15,Associate Professor,48,5520,163520
Amber Jeffreys,Physical Sciences,female,11,Associate Professor,55,770,104466
Carrie Daniel,Physical Sciences,female,52,Full Professor,92,12236,262025
Dodie Fleming,Physical Sciences,female,4,Assistant Professor,39,5811,131733
Mittie Wilczynski,Physical Sciences,female,2,Assistant Professor,21,1428,91197
Maria Sullivan,Physical Sciences,female,63,Full Professor,95,285,144720
Elizabeth Reilly,Physical Sciences,female,2,Assistant Professor,13,1690,87752
Francisca Cuchares,Physical Sciences,female,15,Associate Professor,62,14632,240238
Vanita Peterson,Physical Sciences,female,12,Associate Professor,57,2223,110700
Patricia Smith,Physical Sciences,female,49,Full Professor,87,5133,180168
Jessie Cope,Physical Sciences,female,1,Assistant Professor,13,195,82667
Dorothy Hollingsworth,Physical Sciences,female,57,Full Professor,79,5609,191900
Linda Brown,Physical Sciences,female,62,Full Professor,76,2508,170119
Deanne Jackson,Physical Sciences,female,0,Assistant Professor,17,1377,91077
Emma Hoffman,Physical Sciences,female,1,Assistant Professor,22,110,71298
Cheri Flowers,Physical Sciences,female,7,Associate Professor,64,7616,163775
Alice Jenkins,Physical Sciences,female,3,Assistant Professor,23,1311,100547
Brittney Carver,Physical Sciences,female,6,Assistant Professor,29,928,88134
Patricia Mendez,Physical Sciences,female,8,Associate Professor,51,969,99323
Maria Klingel,Physical Sciences,female,10,Associate Professor,45,5445,138677
Betty Nquyen,Physical Sciences,female,44,Full Professor,90,9900,227395
Linda Aguilar,Physical Sciences,female,9,Associate Professor,50,6050,160555
Nancy Miller,Physical Sciences,female,4,Assistant Professor,21,1596,109332
Jessica Mowen,Physical Sciences,female,45,Full Professor,82,15252,279467
Jean Krumroy,Physical Sciences,female,4,Assistant Professor,13,390,95440
Windy Harris,Physical Sciences,female,5,Assistant Professor,28,896,90119
Brooke Pounds,Physical Sciences,female,6,Assistant Professor,26,1482,92407
Rebecca Colman,Physical Sciences,female,44,Full Professor,70,8330,202963
Julia Schaefer,Physical Sciences,female,15,Associate Professor,65,8645,180318
Tara Campisi,Physical Sciences,female,7,Associate Professor,62,930,96131
Patricia Crayton,Physical Sciences,female,0,Assistant Professor,33,561,83818
Stephnie Denham,Physical Sciences,female,0,Assistant Professor,36,180,73596
Sharon Montoya,Physical Sciences,female,65,Full Professor,92,2668,178039
Sheena Aube,Physical Sciences,female,38,Full Professor,71,4899,172495
Annabelle Mcree,Physical Sciences,female,50,Full Professor,94,21996,300000
Mildred Sider,Physical Sciences,female,5,Assistant Professor,25,275,87761
Paul Perl,Physical Sciences,female,13,Associate Professor,48,528,92110
Florence Kessler,Physical Sciences,female,8,Associate Professor,64,15104,232745
Jessie Malcom,Physical Sciences,female,19,Full Professor,77,4851,149461
Kathy Barton,Physical Sciences,female,9,Associate Professor,64,1216,95732
Patricia Gonzalez,Physical Sciences,female,4,Assistant Professor,23,920,87246
Treena Wille,Physical Sciences,female,13,Associate Professor,56,8512,172434
Shirley Dimaio,Physical Sciences,female,58,Full Professor,95,12160,260862
Kaitlin Cheek,Physical Sciences,female,16,Associate Professor,55,17765,270927
Dorothy Sauls,Physical Sciences,female,48,Full Professor,76,1064,137208
Virginia Varron,Physical Sciences,female,3,Assistant Professor,34,1496,89407
Renee Hayner,Physical Sciences,female,4,Assistant Professor,10,2360,109494
Candy Kennedy,Physical Sciences,female,7,Associate Professor,60,1920,117175
Brian Dodson,Physical Sciences,male,0,Assistant Professor,28,10892,175808
Johnathan Swanson,Physical Sciences,male,15,Associate Professor,57,1824,101304
Alejandro Ackerson,Physical Sciences,male,32,Full Professor,98,2842,134885
Dennis Rosser,Physical Sciences,male,11,Associate Professor,53,1696,96889
Walter Waiters,Physical Sciences,male,4,Assistant Professor,18,522,74527
Robert Walls,Physical Sciences,male,6,Assistant Professor,24,72,73736
Donald Magno,Physical Sciences,male,9,Associate Professor,64,2048,93982
John Reagan,Physical Sciences,male,4,Assistant Professor,31,1364,82888
Thomas Fred,Physical Sciences,male,30,Full Professor,73,2263,119432
William Zeinert,Physical Sciences,male,4,Assistant Professor,13,156,83563
Charles Martin,Physical Sciences,male,23,Full Professor,98,3920,134250
Gregg Fletcher,Physical Sciences,male,12,Associate Professor,55,2420,109748
Christopher Gibson,Physical Sciences,male,17,Associate Professor,52,988,97989
Dan Harris,Physical Sciences,male,10,Associate Professor,41,574,81525
Theodore Mascorro,Physical Sciences,male,0,Assistant Professor,22,484,82822
Michael Schanz,Physical Sciences,male,40,Full Professor,97,1164,114450
Charles Zimmermann,Physical Sciences,male,64,Full Professor,86,12814,254886
Rocco Rollyson,Physical Sciences,male,5,Assistant Professor,23,437,99413
Ralph Stickel,Physical Sciences,male,63,Full Professor,79,3002,159377
Luke Nease,Physical Sciences,male,27,Full Professor,88,11528,211490
Frank Mcdowell,Physical Sciences,male,6,Assistant Professor,12,204,83731
Jackie Sellers,Physical Sciences,male,39,Full Professor,95,5795,157634
Roy Lamborn,Physical Sciences,male,1,Assistant Professor,37,6993,146615
Samuel Hosley,Physical Sciences,male,28,Full Professor,74,3626,124783
Mike Valez,Physical Sciences,male,7,Associate Professor,68,2176,104477
Christopher Ciccone,Physical Sciences,male,9,Associate Professor,51,15249,234602
John Griggs,Physical Sciences,male,4,Assistant Professor,24,1896,99081
Richard Harris,Physical Sciences,male,26,Full Professor,90,11790,220479
Russell Hernandez,Physical Sciences,male,46,Full Professor,91,5733,174069
Sergio Garcia,Physical Sciences,male,13,Associate Professor,47,18330,268516
Thomas Rushing,Physical Sciences,male,12,Associate Professor,42,1344,97490
